id;name;description;image_url
1;Dell InspireX;Powerful laptop with Intel Core i7, 16GB RAM, and 512GB SSD for high-end performance. 15.6' FHD display for immersive visuals.;https://www.dellstore.com/pub/media/catalog/product/cache/74ae05ef3745aec30d7f5a287debd7f5/i/n/indhs-inspiron-7430-2in1-sliver_1.jpg
2;Dell Precision ProBook;Workstation laptop with Xeon Hexa-Core, 32GB RAM, and 1TB SSD. 17.3' UHD display for professional tasks.;https://5.imimg.com/data5/SELLER/Default/2023/12/366478422/CP/LJ/GA/194992631/hp-probook-500x500.png
3;Lenovo FusionFlex;Versatile laptop with Ryzen 9, 16GB RAM, and 512GB SSD. 14' FHD Touchscreen for flexibility and interactivity.;https://fdn.gsmarena.com/imgroot/news/22/12/lenovo-introduces-new-chromebook-and-tablet/-1200/gsmarena_001.jpg
4;Lenovo ThinkPad HorizonX;Business-class laptop with Core i5, 8GB RAM, and 256GB SSD. 13.3' FHD display for reliable performance.;https://p1-ofp.static.pub/fes/cms/2022/12/13/m98j5c4yivw635bhsa40vxumrxvosn591017.png
5;HP SpectraElite;Multimedia and gaming laptop with Core i9, 32GB RAM, and 1TB SSD. 15.6' 4K OLED display for stunning visuals.;https://i.gadgets360cdn.com/large/hp_spectre_x360_13_1550052911894.jpg
6;HP Envy FusionBook;Sleek and powerful laptop with Ryzen 7, 16GB RAM, and 512GB SSD. 14' FHD display, GTX GPU for creative tasks.;https://s3b.cashify.in/gpro/uploads/2022/11/04181555/hp-envy-16-h0028tx-6j2t9pa-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-4-gb-front.jpg
7;Dell InfinityEdge Pro;Ultra-thin laptop with Core i7, 16GB RAM, and 512GB SSD. 14' FHD InfinityEdge display for a premium look.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaWorDfp_tmMk-pD7FwBZJQAV05srvCYa8DbDJb8u1kGiSWJVz9HTSw2u6alLOFTXiMvU&usqp=CAU
8;Lenovo YogaFlex EliteBook;Convertible 2-in-1 laptop with Core i7, 12GB RAM, and 256GB SSD. 13.3' FHD Touchscreen for flexibility and interactivity.;https://m.media-amazon.com/images/I/61m4aOy7TiL.jpg
9;HP EliteDragon X1;High-performance gaming laptop with Core i9, 32GB RAM, and 1TB SSD. 17.3' 144Hz display for smooth gaming.;https://m.media-amazon.com/images/I/51VCr1nOsXL.jpg
10;Dell Vostro Horizon;Business-focused laptop with Core i5, 8GB RAM, and 256GB SSD. 14' FHD display for productivity.;https://m.media-amazon.com/images/I/714FrZZMQcL._AC_UF1000,1000_QL80_.jpg
11;Lenovo Legion TurboDrive;Gaming laptop with Ryzen 7, 16GB RAM, and 512GB SSD. 15.6' 144Hz display for an immersive gaming experience.;https://m.media-amazon.com/images/I/61ffl2pQ-YL._AC_SS300_.jpg
12;HP Pavilion Fusion;Multimedia laptop with Core i5, 12GB RAM, and 512GB SSD. 15.6' FHD display for a balance of performance.;https://in-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/c/0/c07964651.png
13;Dell Latitude FlexBook;Business laptop with Core i7, 16GB RAM, and 512GB SSD. 13.3' FHD Touchscreen for business tasks.;https://i0.wp.com/techfromthenet.it/wp-content/uploads/2018/01/images_articoli_2018_01Gennaio_Mediacom_M-FBE11_9.jpg?fit=740%2C493&ssl=1
14;Lenovo IdeaPad Prism;Mid-range laptop with Ryzen 5, 8GB RAM, and 256GB SSD. 14' FHD display for everyday tasks.;https://images.jdmagicbox.com/quickquotes/images_main/lenovo-ideapad-s145-7th-gen-core-i3-15-6-fhd-laptop-4gb-1tb-windows-10-ms-office-2019-black-1-85-kg-81vd002pin-178222720-bd8w6.jpg
15;HP ProBook Nova;Business-oriented laptop with Core i5, 16GB RAM, and 512GB SSD. 15.6' FHD display for professional use.;https://5.imimg.com/data5/WK/JV/WF/GLADMIN-14983321/15g.png
16;Dell XPS Quantum;Premium laptop with Core i7, 32GB RAM, and 1TB SSD. 15.6' 4K UHD display for exceptional visuals.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPyn7WQjHV-tkTdMlIf-WKu8BlHgmOnXYgTA&usqp=CAU
17;Lenovo ThinkPad CarbonX;Lightweight and durable business laptop with Core i7, 16GB RAM, and 512GB SSD. 13' FHD display for portability.;https://m.media-amazon.com/images/I/71wJJL7q8nL.jpg
18;HP Omen BlazeBook;Gaming laptop with Ryzen 9, 32GB RAM, and 1TB SSD. 15.6' 240Hz display for competitive gaming.;https://m.media-amazon.com/images/I/71Z1Ccm4MnL.jpg
19;Dell Inspiron Fusion 5000;Affordable laptop with Core i5, 8GB RAM, and 512GB SSD. 15.6' FHD display for reliable everyday performance.;https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61rMBAacPEL._AC_SL1280_.jpg
20;Lenovo Legion ThunderX;Large-screen gaming laptop with Ryzen 7, 16GB RAM, and 512GB SSD. 17.3' 120Hz display for an immersive gaming experience.;https://m.media-amazon.com/images/I/61aRG93O-iL._AC_UF1000,1000_QL80_.jpg
